app_name,category,website
Salesforce,CRM and Sales,https://www.salesforce.com
HubSpot,CRM and Sales,https://www.hubspot.com
Pipedrive,CRM and Sales,https://www.pipedrive.com
Attio,CRM and Sales,https://attio.com
Twenty,CRM and Sales,https://twenty.com
Podio,CRM and Sales,https://podio.com
Zoho CRM,CRM and Sales,https://www.zoho.com/crm
Close,CRM and Sales,https://close.com
Copper,CRM and Sales,https://www.copper.com
DealCloud,CRM and Sales,https://api.docs.dealcloud.com
Zendesk,Support and Helpdesk,https://www.zendesk.com
Intercom,Support and Helpdesk,https://www.intercom.com
Freshdesk,Support and Helpdesk,https://www.freshworks.com/freshdesk
Front,Support and Helpdesk,https://front.com
Pylon,Support and Helpdesk,https://usepylon.com
LiveAgent,Support and Helpdesk,https://www.liveagent.com
Plain,Support and Helpdesk,https://www.plain.com
Help Scout,Support and Helpdesk,https://www.helpscout.com
Gorgias,Support and Helpdesk,https://www.gorgias.com
Gladly,Support and Helpdesk,https://www.gladly.com
Slack,Communications and Messaging,https://slack.com
Twilio,Communications and Messaging,https://www.twilio.com
Zoho Cliq,Communications and Messaging,https://www.zoho.com/cliq
Lark (Larksuite),Communications and Messaging,https://open.larksuite.com
Pumble,Communications and Messaging,https://pumble.com
Discord,Communications and Messaging,https://discord.com
Telegram,Communications and Messaging,https://core.telegram.org
WhatsApp Business,Communications and Messaging,https://developers.facebook.com/docs/whatsapp
Aircall,Communications and Messaging,https://aircall.io
Vonage,Communications and Messaging,https://developer.vonage.com
Google Ads,"Marketing, Ads, Email and Social",https://developers.google.com/google-ads
Meta Ads,"Marketing, Ads, Email and Social",https://developers.facebook.com/docs/marketing-apis
LinkedIn Ads,"Marketing, Ads, Email and Social",https://learn.microsoft.com/linkedin/marketing
GoHighLevel,"Marketing, Ads, Email and Social",https://highlevel.stoplight.io
Mailchimp,"Marketing, Ads, Email and Social",https://mailchimp.com/developer
Klaviyo,"Marketing, Ads, Email and Social",https://developers.klaviyo.com
systeme.io,"Marketing, Ads, Email and Social",https://systeme.io
Pinterest,"Marketing, Ads, Email and Social",https://developers.pinterest.com
Threads (Meta),"Marketing, Ads, Email and Social",https://developers.facebook.com/docs/threads
SendGrid,"Marketing, Ads, Email and Social",https://sendgrid.com
Shopify,Ecommerce,https://shopify.dev
WooCommerce,Ecommerce,https://woocommerce.com/document/woocommerce-rest-api
BigCommerce,Ecommerce,https://developer.bigcommerce.com
Salesforce Commerce Cloud,Ecommerce,https://developer.salesforce.com/docs/commerce
Magento (Adobe Commerce),Ecommerce,https://developer.adobe.com/commerce
Squarespace,Ecommerce,https://developers.squarespace.com
Ecwid,Ecommerce,https://api-docs.ecwid.com
Gumroad,Ecommerce,https://gumroad.com/api
Amazon Selling Partner,Ecommerce,https://developer-docs.amazon.com/sp-api
fanbasis,Ecommerce,https://fanbasis.com
DataForSEO,"Data, SEO and Scraping",https://docs.dataforseo.com
SE Ranking,"Data, SEO and Scraping",https://seranking.com/api
Ahrefs,"Data, SEO and Scraping",https://ahrefs.com/api
MrScraper,"Data, SEO and Scraping",https://docs.mrscraper.com
Apify,"Data, SEO and Scraping",https://docs.apify.com
Firecrawl,"Data, SEO and Scraping",https://firecrawl.dev
Bright Data,"Data, SEO and Scraping",https://brightdata.com
Sherlock,"Data, SEO and Scraping",https://github.com/sherlock-project/sherlock
Waterfall.io,"Data, SEO and Scraping",https://waterfall.io
Clay,"Data, SEO and Scraping",https://www.clay.com
GitHub,"Developer, Infra and Data platforms",https://docs.github.com/rest
Vercel,"Developer, Infra and Data platforms",https://vercel.com/docs/rest-api
Netlify,"Developer, Infra and Data platforms",https://docs.netlify.com/api
Cloudflare,"Developer, Infra and Data platforms",https://developers.cloudflare.com/api
Supabase,"Developer, Infra and Data platforms",https://supabase.com/docs
Neo4j,"Developer, Infra and Data platforms",https://neo4j.com/docs/api
Snowflake,"Developer, Infra and Data platforms",https://docs.snowflake.com
MongoDB Atlas,"Developer, Infra and Data platforms",https://www.mongodb.com/docs/atlas/api
Datadog,"Developer, Infra and Data platforms",https://docs.datadoghq.com/api
Sentry,"Developer, Infra and Data platforms",https://docs.sentry.io/api
Notion,Productivity and Project Management,https://developers.notion.com
Airtable,Productivity and Project Management,https://airtable.com/developers
Linear,Productivity and Project Management,https://developers.linear.app
Jira,Productivity and Project Management,https://developer.atlassian.com
Asana,Productivity and Project Management,https://developers.asana.com
Monday.com,Productivity and Project Management,https://developer.monday.com
ClickUp,Productivity and Project Management,https://clickup.com/api
Coda,Productivity and Project Management,https://coda.io/developers
Smartsheet,Productivity and Project Management,https://smartsheet.com/developers
Harvest,Productivity and Project Management,https://help.getharvest.com/api-v2
Stripe,Finance and Fintech,https://stripe.com/docs/api
Plaid,Finance and Fintech,https://plaid.com/docs
Binance,Finance and Fintech,https://binance-docs.github.io
Paygent Connect,Finance and Fintech,https://www.paygent.co.jp
iPayX,Finance and Fintech,https://ipayx.ai/docs
QuickBooks,Finance and Fintech,https://developer.intuit.com
Xero,Finance and Fintech,https://developer.xero.com
Brex,Finance and Fintech,https://developer.brex.com
Ramp,Finance and Fintech,https://docs.ramp.com
